epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
37,2275.37,1.47677,0.51938,0,1.14602,1.64044,9.62604,0.88825,0.83281,0.89098,0.55558,0.85613,0.80582,0.82128,0.79402,1.32229,0.80855,0,0.97037,1.57002,0,0.0005744,0.0005744,0.0005744
38,2336.38,1.48328,0.49617,0,1.15381,1.65477,9.64959,0.85201,0.83074,0.88783,0.54513,0.81833,0.80997,0.81994,0.79011,1.34377,0.78894,0,0.99086,1.58492,0,0.0005348,0.0005348,0.0005348
39,2397.38,1.469,0.45803,0,1.14803,1.64046,9.34981,0.834,0.84631,0.86939,0.53562,0.80432,0.8162,0.80192,0.77554,1.32587,0.79592,0,0.97769,1.57257,0,0.0004952,0.0004952,0.0004952
40,2458.4,1.45627,0.5231,0,1.12018,1.6247,9.60562,0.88088,0.82937,0.88728,0.55662,0.8493,0.79004,0.82656,0.79899,1.29995,0.79635,0,0.98096,1.5415,0,0.0004556,0.0004556,0.0004556
41,2519.4,1.42973,0.45921,0,1.1093,1.60736,9.2162,0.85449,0.82866,0.85889,0.5363,0.8246,0.80374,0.79265,0.76584,1.31036,0.79526,0,0.97899,1.54183,0,0.000416,0.000416,0.000416
42,2580.4,1.43889,0.5274,0,1.11085,1.61375,9.62792,0.88368,0.83178,0.88917,0.55403,0.8361,0.80519,0.82142,0.79454,1.29478,0.78777,0,0.96931,1.53498,0,0.0003764,0.0003764,0.0003764
43,2641.45,1.42316,0.54379,0,1.08494,1.60772,9.55093,0.85399,0.85032,0.89014,0.55686,0.84559,0.8132,0.81931,0.7931,1.29472,0.78844,0,0.94231,1.54055,0,0.0003368,0.0003368,0.0003368
44,2702.4,1.44059,0.51865,0,1.10018,1.61124,9.2837,0.85796,0.84675,0.89002,0.56027,0.83786,0.80685,0.82006,0.79423,1.29772,0.78499,0,0.95006,1.53903,0,0.0002972,0.0002972,0.0002972
45,2763.39,1.41709,0.48132,0,1.09609,1.60266,9.0746,0.88871,0.83756,0.90247,0.56675,0.83956,0.82055,0.82759,0.8004,1.29526,0.78492,0,0.91193,1.54011,0,0.0002576,0.0002576,0.0002576
46,2828.79,1.33797,0.67271,0,0.96979,1.55345,9.9637,0.85758,0.83385,0.88707,0.55339,0.83495,0.81947,0.82432,0.79646,1.30687,0.78357,0,0.92842,1.54304,0,0.000218,0.000218,0.000218
47,2889.77,1.30319,0.64798,0,0.94096,1.51892,9.71297,0.89187,0.8297,0.89211,0.55906,0.85087,0.82035,0.8237,0.79608,1.30588,0.78162,0,0.91264,1.53524,0,0.0001784,0.0001784,0.0001784
48,2950.37,1.31863,0.65727,0,0.93393,1.53865,9.69198,0.88428,0.84109,0.89241,0.56191,0.84852,0.81931,0.82377,0.79742,1.28552,0.79049,0,0.91109,1.52546,0,0.0001388,0.0001388,0.0001388
49,3011.17,1.29177,0.64235,0,0.91478,1.5163,9.57958,0.88679,0.83784,0.89191,0.56249,0.85194,0.82347,0.82391,0.79656,1.28522,0.78405,0,0.90091,1.52195,0,9.92e-05,9.92e-05,9.92e-05
50,3071.87,1.29373,0.65389,0,0.91334,1.51929,9.71641,0.88598,0.83178,0.89172,0.56305,0.85516,0.81545,0.82534,0.79805,1.29047,0.78636,0,0.89978,1.52781,0,5.96e-05,5.96e-05,5.96e-05
